1              1
2              2
3              6
4              24
5              120
6              720
7              5040
8              40320
9              362880
10             3628800
11             39916800
12             479001600
13             6227020800
14             87178291200
15             1307674368000
16             20922789888000
17             355687428096000
18             6402373705728000
19             121645100408832000
20             2432902008176640000
21             14197454024290336768
22             17196083355034583040
23             8128291617894825984
24             10611558092380307456
25             7034535277573963776
26             16877220553537093632
27             12963097176472289280
28             12478583540742619136
29             11390785281054474240
30             9682165104862298112
31             4999213071378415616
32             12400865694432886784
33             3400198294675128320
34             4926277576697053184
35             6399018521010896896
36             9003737871877668864
37             1096907932701818880
38             4789013295250014208
39             2304077777655037952
40             18376134811363311616
41             15551764317513711616
42             7538058755741581312
43             10541877243825618944
44             2673996885588443136
45             9649395409222631424
46             1150331055211806720
47             17172071447535812608
48             12602690238498734080
49             8789267254022766592
50             15188249005818642432
51             18284192274659147776
52             9994050523088551936
53             13175843659825807360
54             10519282829630636032
55             6711489344688881664
56             6908521828386340864
57             6404118670120845312
58             2504001392817995776
59             162129586585337856
60             9727775195120271360
61             3098476543630901248
62             7638104968020361216
63             1585267068834414592
64             9223372036854775808
65             9223372036854775808
