1              1
2              2
3              6
4              24
5              120
6              720
7              5040
8              40320
9              362880
10             3.6288e+06
11             3.99168e+07
12             4.79002e+08
13             6.22702e+09
14             8.71783e+10
15             1.30767e+12
16             2.09228e+13
17             3.55687e+14
18             6.40237e+15
19             1.21645e+17
20             2.4329e+18
21             5.10909e+19
22             1.124e+21
23             2.5852e+22
24             6.20448e+23
25             1.55112e+25
26             4.03291e+26
27             1.08889e+28
28             3.04888e+29
29             8.84176e+30
30             2.65253e+32
31             8.22284e+33
32             2.63131e+35
33             8.68332e+36
34             2.95233e+38
